Page,Field,Recommended Dimensions,Preferred Format,Target File Size,Notes
Global,General upload assets,N/A,"WebP (photos), PNG (graphics), SVG (logos)",N/A,"Use sRGB; keep filenames clear; use higher-res sources for Retina"
Home,HomeIntro.StackingImage,1600x1600,"JPG or WebP","<700KB","Square intro image"
Home,IndigenousHomepageComponent.Image,1600x1600,"JPG or WebP","<700KB","Square supporting image"
Home,HomeCta.Background,2400x1350,"JPG or WebP","<900KB","16:9 CTA background"
Home,Logos.LogoItem.LogoImage,"Min width 800px","SVG preferred; PNG or WebP fallback","<400KB","Transparent background preferred"
Home,SharedMeta.MetaImage,1200x630,"JPG or PNG","<500KB","Social share image (Open Graph/Twitter)"
Hubs and Neighbourhoods,Hero,2400x1350,"JPG or WebP","<900KB","16:9 hero image"
Hubs and Neighbourhoods,HubItem.Image,1600x900,"JPG or WebP","<700KB","16:9 hub item image"
Hubs and Neighbourhoods,SharedMeta.MetaImage,1200x630,"JPG or PNG","<500KB","Social share image"
Indigenous Stewardship,Hero (multiple),2400x1350,"JPG or WebP","<900KB each","16:9 hero images"
Indigenous Stewardship,ExplainerImage,"1600x1200 or 1600x1600","JPG or WebP","<700KB","4:3 or 1:1 depending on composition"
Indigenous Stewardship,ComponentExplainer.Image,1600x1200,"JPG or WebP","<700KB","4:3 explainer cards"
Indigenous Stewardship,SharedMeta.MetaImage,1200x630,"JPG or PNG","<500KB","Social share image"
Loop Trail Maps,Hero,2400x1350,"JPG or WebP","<900KB","16:9 hero image"
Loop Trail Maps,MapContainer.MapThumbnail,1600x900,"JPG or WebP","<700KB","16:9 thumbnail image"
Loop Trail Maps,MapContainer.MapDownloadLink.MapFile,N/A,PDF,"<=20MB","Download file; smaller is better"
Loop Trail Maps,SharedMeta.MetaImage,1200x630,"JPG or PNG","<500KB","Social share image"
FAQs,Hero,2400x1350,"JPG or WebP","<900KB","16:9 hero image"
FAQs,CTA.Background,2400x1350,"JPG or WebP","<900KB","16:9 CTA background"
FAQs,SharedMeta.MetaImage,1200x630,"JPG or PNG","<500KB","Social share image"
Get Involved,Hero,2400x1350,"JPG or WebP","<900KB","16:9 hero image"
Get Involved,SharedMeta.MetaImage,1200x630,"JPG or PNG","<500KB","Social share image"
